Sector;Belg;Niet-Belg;latWGS84;loWGS84;Aangemaakt op
ABDIJ ZEVENKERKE;44;11;;;22/11/2017
ACHTERHAVEN;13;;;;22/11/2017
ASSEBROEKSE MEERSEN;88;1;;;22/11/2017
ASSUMPTA;1047;48;;;22/11/2017
ASTRIDPARK;1517;789;;;22/11/2017
AZ SINT-JAN;5;;;;22/11/2017
BEGIJNHOFBUURT;658;47;;;22/11/2017
BLAUW HUIS;1516;78;;;22/11/2017
BLAUWE TOREN;182;9;;;22/11/2017
BLOEDPUT;1172;169;;;22/11/2017
BOMMELBEEK;922;9;;;22/11/2017
BOUDEWIJNPARK;502;19;;;22/11/2017
BRAAMBEIERHOEK;1;4;;;22/11/2017
BRUGEOISE;133;6;;;22/11/2017
BRUGGE-CENTRUM - BELFORT;819;257;;;22/11/2017
BRUGSE KERKHOF;689;10;;;22/11/2017
BUITENHAVEN;4;;;;22/11/2017
CANADABRUG;1055;99;;;22/11/2017
DAMPOORT;767;26;;;22/11/2017
DAVERLOO;368;4;;;22/11/2017
DE GALGE;404;17;;;22/11/2017
DE LINDE;1413;44;;;22/11/2017
DE MOTE;951;13;;;22/11/2017
DEN BROUCK;204;3;;;22/11/2017
DOKKEN;312;105;;;22/11/2017
DRIEHOEK;1142;69;;;22/11/2017
DUDZEDE-VERSPR. BEWONING-ZUID;931;18;;;22/11/2017
DUDZELE-CENTRUM;652;11;;;22/11/2017
DUIVENSLAG;590;10;;;22/11/2017
ENGELENDALELAAN;473;3;;;22/11/2017
FORT LAPIN;633;38;;;22/11/2017
FORTUINSTRAAT;903;48;;;22/11/2017
GENTWEG;1842;228;;;22/11/2017
GEZELLEKWARTIER;1812;245;;;22/11/2017
GODELIEVE - KERK;944;32;;;22/11/2017
INDUSTRIEPARK;203;10;;;22/11/2017
KAAS EN BROOD - DOORNHAAG;1560;88;;;22/11/2017
KAPELLEWEG;215;6;;;22/11/2017
KARTUIZERSWIJK;1592;172;;;22/11/2017
KOOLKERKE-CENTRUM;462;10;;;22/11/2017
KOOLKERKE-VERSPREIDE BEWONING;590;9;;;22/11/2017
KOOLKERKE-ZUID-OOST;1442;36;;;22/11/2017
KOUDE KEUKEN;1805;158;;;22/11/2017
KRISTUS-KONING;1791;160;;;22/11/2017
KRUISABELE;538;18;;;22/11/2017
LANGE VESTING;1170;124;;;22/11/2017
LEOPOLDWIJK;1508;32;;;22/11/2017
LISSEWEGE-CENTRUM;587;15;;;22/11/2017
LISSEWEGE-VERSPREIDE BEWONING;191;4;;;22/11/2017
LUTGARDIS;358;11;;;22/11/2017
MALEHOEK;2134;101;;;22/11/2017
MALEHOEK-WEST;1063;49;;;22/11/2017
MALEVELD - DOOLHOF;110;;;;22/11/2017
MANITOBALAAN;408;21;;;22/11/2017
MEERSENSTRAAT;1480;31;;;22/11/2017
MIL.DOM.-ZEEBRUGGE-HAVENGEBIED;1;;;;22/11/2017
MOLENDORP;885;27;;;22/11/2017
NOORDVELD KASTEEL;1473;119;;;22/11/2017
NOORDVELDE;396;6;;;22/11/2017
NOORWEGSE KAAI;1115;26;;;22/11/2017
OLYMPIAPARK;234;8;;;22/11/2017
OPPERHOF;869;35;;;22/11/2017
PASTORIESTRAAT;617;5;;;22/11/2017
POLDERHOEK;452;9;;;22/11/2017
PUTTERIE;605;35;;;22/11/2017
RIJKSSPORTCENTRUM;1070;34;;;22/11/2017
ROMBAUTS - WIJK;698;8;;;22/11/2017
RUBENSLAAN;665;30;;;22/11/2017
SANDERSKWARTIER;1048;37;;;22/11/2017
SCHAAPSKLAUW;694;7;;;22/11/2017
SINT-ANDRIES - CENTRUM;2279;77;;;22/11/2017
SINT-ANNA IN DE WOESTIJN;217;7;;;22/11/2017
SINT-BAAFS;3594;231;;;22/11/2017
SINT-GILLIS;2060;306;;;22/11/2017
SINT-JOZEF;1748;71;;;22/11/2017
SINT-JOZEF KLINIEK;1800;167;;;22/11/2017
SINT-KATARINA - KATELIJNEPOORT;2278;111;;;22/11/2017
SINT-KRUIS - CENTRUM;2048;84;;;22/11/2017
SINT-KRUIS - KRUISPORT;1920;159;;;22/11/2017
SINT-MICHIELS-CENTRUM;1247;63;;;22/11/2017
SINT-PIETERS - MOLEN;1393;46;;;22/11/2017
SINT-PIETERS - WIJNENBERG;1823;102;;;22/11/2017
SINT-PIETERS - ZEVENEKE;1632;65;;;22/11/2017
SINT-SALVATOR;939;143;;;22/11/2017
SINT-WALBURGA;701;224;;;22/11/2017
SMEDENPOORT;1501;185;;;22/11/2017
SPEIEN;45;2;;;22/11/2017
STATIESTRAAT;41;;;;22/11/2017
STEENBRUGGE;1076;39;;;22/11/2017
STOKVELDEWIJK;2408;45;;;22/11/2017
STUBBEKWARTIER;1387;111;;;22/11/2017
STUIVENBERG;169;6;;;22/11/2017
'T FORTUINTJE - VELTEM;918;24;;;22/11/2017
'T LEITJE;956;19;;;22/11/2017
'T PEERDJE;2202;67;;;22/11/2017
'T SPEELHOF;512;9;;;22/11/2017
TEN BERGE;36;;;;22/11/2017
TER LUCHT - TER WIND;39;;;;22/11/2017
TILLEGEM;535;3;;;22/11/2017
TIRE;1066;47;;;22/11/2017
VEEMARKT;1293;99;;;22/11/2017
VERRE ASSEBROEK;916;22;;;22/11/2017
VOGELZANG;1194;20;;;22/11/2017
VOSSENSTEERT;1227;17;;;22/11/2017
WAGGELWATER;50;9;;;22/11/2017
WATERGANG;621;9;;;22/11/2017
WEIDEBEEK;42;;;;22/11/2017
XAVERIANEN;604;20;;;22/11/2017
ZEEBRUGGE - DE MOLE;713;195;;;22/11/2017
ZEEBRUGGE - DORP;1672;145;;;22/11/2017
ZEEBRUGGE - MIJN;840;182;;;22/11/2017
ZEEBRUGGE - STATION;558;47;;;22/11/2017
ZEEBRUGGE POLDER - STROOIEN;1;;;;22/11/2017
ZEELAAN;47;8;;;22/11/2017
ZEEWEGE;726;18;;;22/11/2017
ZEVEKOTE;2767;100;;;22/11/2017
ZEVENBERGEN;2173;49;;;22/11/2017
ZEVENTOREN;1642;37;;;22/11/2017
ZWANEKERKE;81;20;;;22/11/2017
ZWANKERDAMME;667;27;;;22/11/2017
