Sectornaam;Man;Vrouw;latWGS84;loWGS84;Aangemaakt op
ABDIJ ZEVENKERKE;43;12;;;22/11/2017
ACHTERHAVEN;6;7;;;22/11/2017
ASSEBROEKSE MEERSEN;45;44;;;22/11/2017
ASSUMPTA;535;560;;;22/11/2017
ASTRIDPARK;1138;1168;;;22/11/2017
AZ SINT-JAN;3;2;;;22/11/2017
BEGIJNHOFBUURT;298;407;;;22/11/2017
BLAUW HUIS;760;834;;;22/11/2017
BLAUWE TOREN;98;93;;;22/11/2017
BLOEDPUT;629;712;;;22/11/2017
BOMMELBEEK;468;463;;;22/11/2017
BOUDEWIJNPARK;198;322;;;22/11/2017
BRAAMBEIERHOEK;4;1;;;22/11/2017
BRUGEOISE;67;72;;;22/11/2017
BRUGGE-CENTRUM - BELFORT;605;471;;;22/11/2017
BRUGSE KERKHOF;346;353;;;22/11/2017
BUITENHAVEN;4;;;;22/11/2017
CANADABRUG;551;603;;;22/11/2017
DAMPOORT;384;409;;;22/11/2017
DAVERLOO;163;209;;;22/11/2017
DE GALGE;210;211;;;22/11/2017
DE LINDE;725;732;;;22/11/2017
DE MOTE;423;541;;;22/11/2017
DEN BROUCK;109;98;;;22/11/2017
DOKKEN;235;182;;;22/11/2017
DRIEHOEK;562;649;;;22/11/2017
DUDZEDE-VERSPR. BEWONING-ZUID;472;477;;;22/11/2017
DUDZELE-CENTRUM;336;327;;;22/11/2017
DUIVENSLAG;300;300;;;22/11/2017
ENGELENDALELAAN;245;231;;;22/11/2017
FORT LAPIN;331;340;;;22/11/2017
FORTUINSTRAAT;473;478;;;22/11/2017
GENTWEG;1020;1050;;;22/11/2017
GEZELLEKWARTIER;1036;1021;;;22/11/2017
GODELIEVE - KERK;483;493;;;22/11/2017
INDUSTRIEPARK;119;94;;;22/11/2017
KAAS EN BROOD - DOORNHAAG;836;812;;;22/11/2017
KAPELLEWEG;110;111;;;22/11/2017
KARTUIZERSWIJK;857;907;;;22/11/2017
KOOLKERKE-CENTRUM;236;236;;;22/11/2017
KOOLKERKE-VERSPREIDE BEWONING;300;299;;;22/11/2017
KOOLKERKE-ZUID-OOST;725;753;;;22/11/2017
KOUDE KEUKEN;1038;925;;;22/11/2017
KRISTUS-KONING;939;1012;;;22/11/2017
KRUISABELE;262;294;;;22/11/2017
LANGE VESTING;633;661;;;22/11/2017
LEOPOLDWIJK;742;798;;;22/11/2017
LISSEWEGE-CENTRUM;286;316;;;22/11/2017
LISSEWEGE-VERSPREIDE BEWONING;95;100;;;22/11/2017
LUTGARDIS;170;199;;;22/11/2017
MALEHOEK;1096;1139;;;22/11/2017
MALEHOEK-WEST;522;590;;;22/11/2017
MALEVELD - DOOLHOF;57;53;;;22/11/2017
MANITOBALAAN;200;229;;;22/11/2017
MEERSENSTRAAT;741;770;;;22/11/2017
MIL.DOM.-ZEEBRUGGE-HAVENGEBIED;;1;;;22/11/2017
MOLENDORP;428;484;;;22/11/2017
NOORDVELD KASTEEL;797;795;;;22/11/2017
NOORDVELDE;198;204;;;22/11/2017
NOORWEGSE KAAI;520;621;;;22/11/2017
OLYMPIAPARK;117;125;;;22/11/2017
OPPERHOF;469;435;;;22/11/2017
PASTORIESTRAAT;307;315;;;22/11/2017
POLDERHOEK;232;229;;;22/11/2017
PUTTERIE;292;348;;;22/11/2017
RIJKSSPORTCENTRUM;529;575;;;22/11/2017
ROMBAUTS - WIJK;363;343;;;22/11/2017
RUBENSLAAN;327;368;;;22/11/2017
SANDERSKWARTIER;505;580;;;22/11/2017
SCHAAPSKLAUW;344;357;;;22/11/2017
SINT-ANDRIES - CENTRUM;1128;1228;;;22/11/2017
SINT-ANNA IN DE WOESTIJN;113;111;;;22/11/2017
SINT-BAAFS;1850;1975;;;22/11/2017
SINT-GILLIS;1187;1179;;;22/11/2017
SINT-JOZEF;871;948;;;22/11/2017
SINT-JOZEF KLINIEK;902;1065;;;22/11/2017
SINT-KATARINA - KATELIJNEPOORT;1088;1301;;;22/11/2017
SINT-KRUIS - CENTRUM;1034;1098;;;22/11/2017
SINT-KRUIS - KRUISPORT;1017;1062;;;22/11/2017
SINT-MICHIELS-CENTRUM;626;684;;;22/11/2017
SINT-PIETERS - MOLEN;591;848;;;22/11/2017
SINT-PIETERS - WIJNENBERG;921;1003;;;22/11/2017
SINT-PIETERS - ZEVENEKE;787;910;;;22/11/2017
SINT-SALVATOR;491;590;;;22/11/2017
SINT-WALBURGA;469;456;;;22/11/2017
SMEDENPOORT;827;859;;;22/11/2017
SPEIEN;30;17;;;22/11/2017
STATIESTRAAT;24;17;;;22/11/2017
STEENBRUGGE;561;554;;;22/11/2017
STOKVELDEWIJK;1166;1287;;;22/11/2017
STUBBEKWARTIER;724;774;;;22/11/2017
STUIVENBERG;93;82;;;22/11/2017
'T FORTUINTJE - VELTEM;452;490;;;22/11/2017
'T LEITJE;492;482;;;22/11/2017
'T PEERDJE;1086;1183;;;22/11/2017
'T SPEELHOF;266;255;;;22/11/2017
TEN BERGE;20;16;;;22/11/2017
TER LUCHT - TER WIND;22;17;;;22/11/2017
TILLEGEM;263;275;;;22/11/2017
TIRE;547;566;;;22/11/2017
VEEMARKT;683;709;;;22/11/2017
VERRE ASSEBROEK;461;477;;;22/11/2017
VOGELZANG;591;623;;;22/11/2017
VOSSENSTEERT;607;637;;;22/11/2017
WAGGELWATER;39;20;;;22/11/2017
WATERGANG;313;317;;;22/11/2017
WEIDEBEEK;23;19;;;22/11/2017
XAVERIANEN;294;330;;;22/11/2017
ZEEBRUGGE - DE MOLE;492;416;;;22/11/2017
ZEEBRUGGE - DORP;914;903;;;22/11/2017
ZEEBRUGGE - MIJN;550;472;;;22/11/2017
ZEEBRUGGE - STATION;315;290;;;22/11/2017
ZEEBRUGGE POLDER - STROOIEN;1;;;;22/11/2017
ZEELAAN;27;28;;;22/11/2017
ZEEWEGE;380;364;;;22/11/2017
ZEVEKOTE;1392;1475;;;22/11/2017
ZEVENBERGEN;1083;1139;;;22/11/2017
ZEVENTOREN;748;931;;;22/11/2017
ZWANEKERKE;53;48;;;22/11/2017
ZWANKERDAMME;374;320;;;22/11/2017
