School;Vestiging_aangepast;Vestiging;Aantal;Blokcode;latWGS84;loWGS84;Aangemaakt op
Lyceum Hemelsdaele;Wapenmakersstr 14;Wapenmakersstraat 14;362;31005WH00029;51.2104699984766;3.22727609510869;22/06/2016
Howest;St-Jorisstr 71;Sint-Jorisstraat 71;1120;31005WH00132;51.2150884469745;3.22049661957341;22/06/2016
Bu.S.O. Ravelijn;Barrierestr 4;Barrièrestraat 4_a;142;31005WM00048;51.1945690520933;3.2067815928465;22/06/2016
Vrije Basisschool - Sint-Lodewijkscollege Afd. Immaculata;Koningin Astridl 4;Koningin Astridlaan 4;475;31005WM00064;51.1892285116187;3.20826441883954;22/06/2016
Hogere Beroepsopl. Verpl St.Jan-St.Jozef;Koning Albert I-l 8;Koning Albert I-laan 6;491;31005WM00048;51.196346743889;3.20937852419786;22/06/2016
M.S.G.O. Brugge Centrum;Hugo Losschaertstr 5;Hugo Losschaertstraat 5_A;162;31005WH00132;51.2143793985778;3.21908226222218;22/06/2016
Vrij Handels- en Sportinst. St.-Michiels;Spoorwegstr 14;Spoorwegstraat 14;629;31005WM00009;51.1914742028918;3.21677678680783;22/06/2016
Vrije Basisschool;St-Katarinastr 132;Sint-Katarinastraat 132;372;31005WC00126;51.1969957764013;3.23701584104549;22/06/2016
Europacollege;Dijver 10/11;Dijver 11;315;31005WH00289;51.20584346997;3.22627501779853;22/06/2016
Vrije Basisschool -Sint Lodewijkscollege;Doornstr 3;Doornstraat 3;327;31005WD00181;51.1932402104609;3.194970683028;22/06/2016
"Basisschool van het Gemeenschapsonderwijs - Freinetschool ""De Boomhut""";Koning Leopold III-l 100;Koning Leopold III-laan 102;207;31005WD00192;51.1898711519715;3.18576270071643;22/06/2016
Vrije Basisschool - Sint-Lodewijkscollege;Spoorwegstr 250;Spoorwegstraat 250;185;31005WM00108;51.1829375905053;3.22305189381258;22/06/2016
K.A. I;St-Clarastr 46;Sint-Clarastraat 46;347;31005WH00106;51.2161073654171;3.22387405421352;22/06/2016
Vrije Lagere School voor Buitengewoon Onderwijs - De Spycker;Polderstr 76;Polderstraat 78;200;31005WF00067;51.2193649159249;3.25114334379791;22/06/2016
Vrij Technisch Instituut Brugge;Boeveriestr 73;Boeveriestraat 73;174;31005WH00013;51.2011575429197;3.2165303989481;22/06/2016
Sint-Leocollege;Potterierei 11;Potterierei 11;680;31005WH00135;51.2142191517699;3.23007011436642;22/06/2016
Vrije Basisschool - Het Palet;Mariastr 7;Mariastraat 7;330;31005WH00259;51.2057300030921;3.22388882117412;22/06/2016
Sint-Jozefsinstituut - ASO;Noordzandstr 76;Noordzandstraat 76;639;31005WH00044;51.2069667937522;3.21818750701998;22/06/2016
Vrije Basisschool - De Zonnetuin;Beeweg 32;Beeweg 32;476;31005WF00004;51.2026614679884;3.27107615197508;22/06/2016
Sint-Andreaslyceum;Fortuinstr 29;Fortuinstraat 29;686;31005WF00135;51.2073602195143;3.25504853967158;22/06/2016
BuSO Secundaire School Spermalie;Potterierei 45;Potterierei 46;191;31005WH00108;51.2164849095072;3.2290091874876;22/06/2016
Onze-Lieve-Vrouw-Hemelvaart Instituut;Doornstr 3;Doornstraat 3;576;31005WD00181;51.1932402104609;3.194970683028;22/06/2016
Gemeentelijke Basisschool-Ter Poorten;Stationsstr 25;Stationsstraat 25;137;31005WA00020;51.2943566171681;3.19536863246423;22/06/2016
M.S.G.O. V Assebroek - Sint-Kruis;Daverlostr 132;Daverlostraat 132;146;31005WC00133;51.1959523289952;3.24364400458553;22/06/2016
Vrije Basisschool-De Lisblomme;Zeebruggel 43;Zeebruggelaan 41;236;31005WA00023;51.2937180076241;3.19150336036233;22/06/2016
Instituut Mariawende-Blydhove;Boogschuttersl 25;Boogschutterslaan 25;672;31005WF00067;51.2157078435239;3.2488396243053;22/06/2016
Steinerschool;Astridl 86;Astridlaan 86;276;31005WC00037;51.1985137793371;3.24942371110806;22/06/2016
Medisch Pedagogisch Instituut van het Gemeenschapsonderwijs - De Kaproenen;Kaproenenhof 32;Kaproenenhof 32;173;31005WM00164;51.1752814299369;3.21286413585979;22/06/2016
Sint-Franciscus-Xaveriusinstituut;Mariastr 7;Mariastraat 7;928;31005WH00259;51.2057300030921;3.22388882117412;22/06/2016
K.A. III;Daverlostr 132;Daverlostraat 132;208;31005WC00133;51.1959523289952;3.24364400458553;22/06/2016
Vrije Basisschool - Guido Gezelleschool;Astridl 86;Astridlaan 86;171;31005WC00037;51.1985137793371;3.24942371110806;22/06/2016
Technisch Instituut Heilige Familie;Oude Zak 44;Oude Zak 38;1479;31005WH00030;51.2101097703361;3.21701411343674;22/06/2016
Bu.S.O. Haverlo;Weidestr 156;Weidestraat 156;359;31005WC00130;51.1931913640931;3.24297468844358;22/06/2016
Sint-Jozefsinstituut;Zilverstr 18;Zilverstraat 26;704;31005WH00237;51.2072309652163;3.22080618598267;22/06/2016
S.S.B.O.G.O. De Varens;Nieuwe St-Annadr 25/27;Nieuwe St.-Annadreef 27;353;31005WD00194;51.1902861135845;3.17413203876489;22/06/2016
Sint-Lodewijkscollege;Magdalenastr 30;Magdalenastraat 30;1218;31005WD00037;51.199907006583;3.21153305001807;22/06/2016
Vrije Kleuterschool;Fortuinstr 29;Fortuinstraat 29;180;31005WF00135;51.2073602195143;3.25504853967158;22/06/2016
Vrije Basisschool;Collegestr 24;Collegestraat 24_bi;207;31005WC00073;51.2035971129132;3.25046947206429;22/06/2016
Vrije Basisschool;Potentestr 28;Potentestraat 28;198;31005WK00129;51.2228914683041;3.20619053957424;22/06/2016
Vrije Basisschool voor Buitengewoon Onderwijs - Het Anker;Beisbroekdr 27;Beisbroekdreef 12;99;31005WD00231;51.1795456976114;3.14356996416128;22/06/2016
BLO Ganzeveer;Ganzenstr 13/15;Ganzenstraat 15;191;31005WH00207;51.2092795123184;3.23519218951309;22/06/2016
Basisschool van het Gemeenschapsonderwijs -Freinetschool De Tandem;Leopold Debruynestr 56;Leopold Debruynestraat 56;172;31005WF00007;51.2116260643012;3.25100951513669;22/06/2016
Vrije Lagere School voor Buitengewoon Onderwijs - De Boomgaard;St-Kristoffelstr 125B;Sint-Kristoffelstraat 125_B;93;31005WC00073;51.2031696733644;3.25343300908081;22/06/2016
Immaculata-Instituut;Koningin Astridl 4;Koningin Astridlaan 4;452;31005WM00064;51.1892285116187;3.20826441883954;22/06/2016
Vrije Basisschool -Sint-Jozefsinstituut;Zilverstr 18;Zilverstraat 26;173;31005WH00237;51.2072309652163;3.22080618598267;22/06/2016
Vrije Basisschool;Gerard Davidstr 6;Gerard Davidstraat 6;493;31005WB00027;51.2150203323916;3.20711180690146;22/06/2016
Vrije Lagere School;Fortuinstr 29;Fortuinstraat 29;384;31005WF00135;51.2073602195143;3.25504853967158;22/06/2016
Hotel- en Toerismeschool Spermalie;Snaggaardstr 15;Snaggaardstraat 15;738;31005WH00108;51.2160096717862;3.2326115021513;22/06/2016
Gemeentelijke Lagere School voor Buitengewoon Onderwijs -De Ganzenveer;Ganzenstr 13/15;Ganzenstraat 15;165;31005WH00207;51.2092795123184;3.23519218951309;22/06/2016
Vrije Basisschool;Gistelse stwg 440;Gistelse Steenweg 440;462;31005WD00157;51.199227869064;3.18518614789527;22/06/2016
Hotelschool Ter Groene Poorte;Spoorwegstr 14;Spoorwegstraat 14;734;31005WM00009;51.1914742028918;3.21677678680783;22/06/2016
Onze-Lieve-Vrouwecollege;Collegestr 24;Collegestraat 24;666;31005WC00073;51.2035971129132;3.25046947206429;22/06/2016
Sint-Andreasinstituut;Garenmarkt 8;Garenmarkt 8;426;31005WH00289;51.2051864386834;3.22747911888462;22/06/2016
Vrije Basisschool - Mozaiek;Pastorieweg 4;Pastorieweg 4;366;31005WF00067;51.2153351824239;3.25048336188807;22/06/2016
Gemeentelijke Basisschool_-St. Michiels;Rijselstr 71;Rijselstraat 71;456;31005WM00028;51.187685370712;3.21162208657553;22/06/2016
SASK;Katelijnestr 86/88;Katelijnestraat 86;1742;31005WH00007;51.2016756145344;3.22657072740621;22/06/2016
Basisschool van het Gemeenschapsonderwijs - MANITOBA;Manitobal 46;Manitobalaan 48;242;31005WD00164;51.1968551520416;3.19746935240659;22/06/2016
Vrije Basisschool voor Buitengewoon Onderwijs - De Berkjes;Torhoutse stwg 511;Torhoutse Steenweg 511;44;31005WM00186;51.1808527634101;3.18865548434362;22/06/2016
Vrij Technisch Instituut Brugge;Boeveriestr 73;Boeveriestraat 73;1210;31005WH00013;51.2011575429197;3.2165303989481;22/06/2016
Vrije Basisschool - DE KOMME;St-Jozefsstr 6;Sint-Jozefsstraat 2;145;31005WL00068;51.2258229183217;3.23311071352667;22/06/2016
Ter Groene Poorte (brood- & banketbakk.);Groene-Poortdr 17;Groene-Poortdreef 17;572;31005WM00009;51.1897338498152;3.21549564080943;22/06/2016
Vrije Basisschool;St-Maartensplein 5;Sint-Maartensplein 5;242;31005WH00171;51.2114306683537;3.22919721608174;22/06/2016
Gemeentelijke Basisschool - De Triangel;Diksmuidse Heerweg 159;Diksmuidse Heerweg 159;328;31005WD00173;51.1958295134236;3.19536113307598;22/06/2016
Basisschool van het Gemeenschapsonderwijs - Brugge De Springplank - De Pannebeke - De Regenboog;Hugo Losschaertstr 5;Hugo Losschaertstraat 5;440;31005WH00132;51.2143793985778;3.21908226222218;22/06/2016
Stedelijke Academie voor Schone Kunsten;Katelijnestr 86/88;Katelijnestraat 86;384;31005WH00007;51.2016756145344;3.22657072740621;22/06/2016
Abdijschool van Zevenkerken;Zevenkerken 4;Zevenkerken 4;298;31005WD00232;51.159452551624;3.15905635372939;22/06/2016
K.A. II;Vijverhofl 13;Vijverhoflaan 13;226;31005WM00086;51.1853140049257;3.21704679779697;22/06/2016
Vrije Basisschool -Oefenschool - Sint-Andreas;Garenmarkt 8;Garenmarkt 8;711;31005WH00289;51.2051864386834;3.22747911888462;22/06/2016
Vrije Basisschool voor Buitengewoon Onderwijs -Ter Dreve Type 2;Koning Albert I-l 188A;Koning Albert I-laan 188;59;31005WM00117;51.18152605372;3.20384078208604;22/06/2016
Howest;Rijselstr 5;Rijselstraat 5;1648;31005WM00071;51.1919550355499;3.21510327266019;22/06/2016
Vrije Basisschool voor Buitengewoon Onderwijs -Het Noordveld;Noordveldstr 31;Noordveldstraat 31;112;31005WD00136;51.2042159863931;3.19791181286344;22/06/2016
Basisschool van het Gemeenschapsonderwijs;Brieversweg 183;Brieversweg 185;101;31005WF00104;51.2124499832827;3.2751816734386;22/06/2016
Basisschool van het Gemeenschapsonderwijs;Spiegelrei 15;Spiegelrei 15;228;31005WH00166;51.2126384324845;3.22790017721646;22/06/2016
K.T.A.;Rijselstr 5;Rijselstraat 7;141;31005WM00071;51.1919550355499;3.21510327266019;22/06/2016
Vrije Basisschool - Sint-Lodewijkscollege - afd. Zandstraat;Zandstr 69;Zandstraat 69;315;31005WD00145;51.202540647471;3.20146606018537;22/06/2016
Vrije Basisschool;Blankenbergse stwg 219;Blankenbergse Steenweg 219;224;31005WK00010;51.2288136814109;3.2057697688757;22/06/2016
cvo SNTL;Arsenaalstr 4;Arsenaalstraat 4;6510;31005WH00007;51.2011026721322;3.22568274694483;22/06/2016
Vrije Basisschool;Zustersstr 9;Zustersstraat 9;219;31005WJ00033;51.3302760729287;3.20830443919991;22/06/2016
Vrije Lagere School;Potterierei 11;Potterierei 11;183;31005WH00135;51.2142191517699;3.23007011436642;22/06/2016
Basisschool van het Gemeenschapsonderwijs;Daverlostr 132;Daverlostraat 132;431;31005WC00133;51.1959523289952;3.24364400458553;22/06/2016
Vrij Technisch Instituut-Brugge MS;Boeveriestr 73;Boeveriestraat 73;262;31005WH00013;51.2011575429197;3.2165303989481;22/06/2016
Vrije Basisschool;Smallestr 2;Smallestraat 2;334;31005WG00017;51.2421696400959;3.24979553085339;22/06/2016
K.T.A.;Rijselstr 5;Rijselstraat 7;1197;31005WM00071;51.1919550355499;3.21510327266019;22/06/2016
Vrije Basisschool - OLVA De Meersen;Astridl 400;Astridlaan 400;201;31005WC00136;51.1923987422338;3.26796098039822;22/06/2016
Sint-Lodewijkscollege Eerste Graad;Magdalenastr 30;Magdalenastraat 30;138;31005WD00037;51.199907006583;3.21153305001807;22/06/2016
Conservatorium;St-Jakobsstr 23/27;Sint-Jakobsstraat 23-27;1510;31005WH00195;51.2094350522;3.22151760419714;22/06/2016
Conservatorium Blijdhove;Generaal Lemanl 145;Generaal Lemanlaan 145;98;31005WC00014;51.2019853453404;3.24364798083811;22/06/2016
Vrije Basisschool;Baron Ruzettel 439;Baron Ruzettelaan 439;260;31005WC00169;51.1819041377087;3.23618499967866;22/06/2016
Vrije Lagere School;De Linde 96;De Linde 94;140;31005WF00108;51.2103466378954;3.28196496170572;22/06/2016
Vrije Basisschool voor Buitengewoon Onderwijs -Koninklijk Instituut Spermalie;Snaggaardstr 9;Snaggaardstraat 9;120;31005WH00108;51.2160837947349;3.2317627619547;22/06/2016
Vrije Basisschool;St-Lenardsstr 58A;Sint-Lenardsstraat 58;233;31005WE00019;51.2742845463156;3.22930253590887;22/06/2016
KHBO;Xaverianenstr 14;Xaverianenstraat 10;3391;31005WM00031;51.1871497433193;3.20381110048044;22/06/2016
