DEELGEMEENTE;LIGGING;BELANG;COORDINATEN;NR;AANTAL;latWGS84;loWGS84;Aangemaakt op
brugge;Nieuwe Gentweg thv 57;algemeen belang;;220;1;;;02/05/2018
Assebroek;Dries;algemeen belang;;189;1;;;02/05/2018
Sint-Andries;Olympialaan parking tegenaan J.Breydelstadion;Jan Breydelstadion;n.o.p.;114;12;51.19456952131326;3.179368188842499;02/05/2018
Zeebrugge;Rederskaai;;;319;1;51.3351018641084;3.2081764878167833;02/05/2018
Sint-Pieters;Oostendse Steenweg t.h.v. nr. 182;algemeen belang;n.o.p.;154;1;51.22747206751004;3.1927120936973017;02/05/2018
Assebroek;Astridlaan 50;;;314;1;51.19983048430973;3.2484212583720087;02/05/2018
Brugge;Moerstraat 98;algemeen belang;;251;1;51.208324834229245;3.218763885948771;02/05/2018
Brugge;Peperstraat t.h.v. nr. 39-41;algemeen belang;H 7;59;1;51.21229147165463;3.2360913335748336;02/05/2018
Brugge;Bevrijdingslaan thv 3;alg. belang;;260;1;51.210454097236905;3.2114929273236896;02/05/2018
Sint-Kruis;Peellaertplein t.h.v. kerk;kerk + bib + OCMW centrum;n.o.p.;142;2;51.21289311224364;3.2822728135894113;02/05/2018
Dudzele;Sint-Lenardsstraat thv 50;Algemeen belang;;281;1;51.27420288489176;3.227907972793559;02/05/2018
Sint-Kruis;Pastorieweg (kerkhof);Kerkhof - school – peutertuin - kinderkribbe;n.o.p.;141;1;51.2159953003874;3.25031623650342;02/05/2018
Sint-Michiels;Rijselstraat (gemeenteplein);gemeentehuis;n.o.p.;147;2;51.18645763551367;3.2101514902066675;02/05/2018
Brugge;Gustaaf Vincke-Dujardinstraat;Ministerie van Financiën;B 5;35;2;51.216242949332155;3.2110153119224347;02/05/2018
Brugge;Bilkske t.h.v. nr. 11-15;kerk H. Familie - vzw Oranje ? dienstencentrum De Balsemboom;H 8;23;2;51.209394946383384;3.2356449023914813;02/05/2018
Sint-Andries;Gistelse steenweg 145;;;298;1;51.20166340486877;3.202265618014226;02/05/2018
Brugge;Biskajerplein (zijkant plein);;;285;1;51.21120067644874;3.22591851491978;02/05/2018
Assebroek;Leliestraat;OCMW-ontmoetingscentrum  - De Lelie;J 14;11;1;51.19777884392424;3.240377726814047;02/05/2018
Zwankendamme;lisseweegse steenweg wulsberge;;;326;1;51.30927436161381;3.1949937988284174;02/05/2018
Brugge;Keizer Karelstraat t.h.v. nr. 41;zwembad Jan Guilini;B 6;42;1;51.21355727543766;3.2122554232569063;02/05/2018
Brugge;Spaanse Loskaai;ziekenhuis;F 7;81;3;51.21304206073875;3.2251762298824667;02/05/2018
Sint-Andries;Gistelse Steenweg t.h.v. nr. 138, tegenover Diksmuidse Heirweg;school + handelszaken /banken;n.o.p.;102;1;51.201846279520865;3.202501658003396;02/05/2018
Brugge;Braambergstraat;Ombudsdienst;G 9;26;3;51.20779574432503;3.228921700342383;02/05/2018
Brugge;Ganzenstraat t.h.v. nr. 23;kortopvang Oranje, - Bu.L.O.De Ganzeveer dienstencentrum De Balsemboom;H 9;28;1;51.20898184483295;3.23501066132284;02/05/2018
Brugge;Hoogstraat t.h.v. nr. 50;handel + horeca;F 8;36;1;51.20975850585802;3.2311291005524754;02/05/2018
Assebroek;Kruisboogstraat (naast gemeentehuis);gemeentediensten;J 12;10;1;51.20170142375244;3.2419858794410787;02/05/2018
Brugge;Sint-Maartensplein t.h.v. kerk;kerk Sint-Walburga+ school;G 7;79;1;51.2109667582792;3.2291587304366662;02/05/2018
Brugge;Oude Burg;Thuiszorgcentrum, Hof van Watervliet - toerisme - horeca;E9-10;56;2;51.20652441765005;3.224157077176987;02/05/2018
Sint- Kruis;Boogschutterslaan (parking achter winkelcentrum);winkel en diensten;n.o.p.;143;1;51.214528212126844;3.248602242633126;02/05/2018
Zeebrugge;Brusselstraat tegenover nr. 56;strandwijk -toerisme;n.o.p.;160;1;51.328188426078675;3.1782563145552682;02/05/2018
Brugge;Augustijnenrei t.h.v. nr. 10;algemeen belang;E 7;21;1;51.21298495652649;3.2237458539559105;02/05/2018
Assebroek;Cornelis Everaertstraat thv 3;algemeen belang;;232;1;51.22924504836568;3.230080440010827;02/05/2018
Lissewege;Onder de Toren;kerk O.L.V.Bezoeking + horeca;n.o.p.;95;1;51.29420167082321;3.198331639022971;02/05/2018
Brugge;Vlamingdam t.h.v. nr. 34;vzw De Windroos dagcentrum;D 5;87;1;51.21625887570575;3.2209733964369245;02/05/2018
Zwankendamme;Doornweg 84;;;320;1;51.30752348401228;3.196998829710928;02/05/2018
Sint-Andries;18-oktoberstraat thv 6;algemeen belang;;226;1;51.203179442062684;3.2088712853915977;02/05/2018
Brugge;Boeveriestraat thv de kerk (nr 18);;;287;1;51.20323486919766;3.2162416863803145;02/05/2018
Brugge;Calvariebergstraat tegenover 48;algemeen belang;;247;1;51.2193560874231;3.2259838551205737;02/05/2018
Brugge;Eekhoutstraat;alg. belang;;270;;51.20684024425106;3.22721856779191;02/05/2018
Assebroek;Mispelaar thv 32;Algemeen belang;;277;1;51.18881097892689;3.2719248059884434;02/05/2018
Assebroek;Barthelstraat t.h.v. nr 19;algemeen belang;;174;1;51.19388984647005;3.2340573073519425;02/05/2018
Assebroek;Vrijheidsstraat 123;algemeen belang;;216;1;51.19606650860818;3.232100984242459;02/05/2018
Assebroek;Kerkhofblommenstraat;stedelijk kerkhof;n.o.p.;8;1;51.19000713944509;3.2388488563980706;02/05/2018
Assebroek;Sint-Kruisstraat t.h.v. nr. 58;algemeen belang;n.o.p.;17;1;51.20405113673121;3.2543773569247523;02/05/2018
Brugge;Speelmansstraat tegenover nr 5;algemeen belang;;249;1;51.214398282239806;3.2332241628966356;02/05/2018
Brugge;Sint-Clarastraat t.h.v. nr. 48;Sociaal bureau ADMB;E 5;73;1;51.21707877307486;3.2237227797415366;02/05/2018
Sint-Andries;Gistelse Steenweg t.h.v. nr. 182;;n.o.p.;103;1;51.20122626848552;3.1995657942985107;02/05/2018
Sint-Kruis;Brugse Mettenstraat t.h.v. nr. 29;algemeen belang;J 6;131;1;51.21401248820381;3.2430239940502137;02/05/2018
Brugge;Wulpenstraat tgo nr. 27;algemeen belang;G 3;90;1;51.22039623316721;3.2304321370149114;02/05/2018
Sint-Jozef;Louis de Potterstraat 44;;;312;1;51.22546656048707;3.239177593034904;02/05/2018
Brugge;Woensdagmarkt;alg. belang;;263;2;51.21234913317862;3.2262755682335014;02/05/2018
Brugge;Keizer Karelstraat t.h.v. nr. 53;algemeen belang;B 6;43;1;51.21392511814322;3.212809191955298;02/05/2018
Sint-Jozef;Ronsaardbekestraat t.h.v. kerk;kerk Sint-Jozef;H 1;129;1;51.225334009110064;3.232037437293663;02/05/2018
Brugge;Naaldenstraat t.h.v. nr. 20/22;Evangelische kerk, horeca;E 8;52;1;51.21062917378423;3.2221671921421704;02/05/2018
Brugge;Carmersstraat 117;;;310;1;51.215704990478585;3.2364775615891355;02/05/2018
Brugge;Leffingestraat;begeleid wonen;G 8;48;2;51.21075169475222;3.2316223108536217;02/05/2018
Zwankendamme;Zwankendammestraat t.h.v. nr. 30;;;173;1;51.31073544939009;3.195913071704553;02/05/2018
Sint-Andries;Zandstraat t.h.v. nr. 379;algemeen belang;n.o.p.;122;1;51.20077369227115;3.1845191847104046;02/05/2018
Zwankendamme;Lisseweegs Vaartje thv 20;algemeen belang;;203;1;51.29532222341235;3.19703153148434;02/05/2018
Brugge;Kwekersstraat t.h.v. nr. 23;algemeen belang;I 8;46;1;51.2101484400085;3.2366237411418286;02/05/2018
Sint-Andries;Torhoutse Steenweg t.h.v. nr. 148;algemeen belang;n.o.p.;120;1;51.198581213120036;3.2023685288418355;02/05/2018
Brugge;Sint-Gillisdorpstraat tegenover 17;algemeen belang;;243;1;51.21527447638691;3.225175208953093;02/05/2018
Dudzele;Amaat Vynckestraat - zijkant kerk;kerk Dudzele;n.o.p.;93;1;51.27504654154537;3.2281661575388414;02/05/2018
Brugge;Jan Van Eyckplein thv 18;algemeen belang;;238;2;51.21148733440063;3.2255379288221007;02/05/2018
Zwankendamme;Lisseweegse Steenweg t.h.v. nr. 95;kerk + winkels;n.o.p.;172;1;51.30970610846883;3.1964054599469613;02/05/2018
Sint-Andries;Albert Dyserinckstraat tegenaan de Torhoutse steenweg;;;313;2;51.19614009767194;3.200542634086988;02/05/2018
Sint-Andries;Korte Molenstraat 16;particulier;;199;1;51.19735903702146;3.1744731481314328;02/05/2018
Zeebrugge;Londenstraat (tegenaan Zeedijk);strand;n.o.p.;164;4;51.328188211830444;3.1764465623657574;02/05/2018
Brugge;Park;algemeen belang;G 9;58;3;51.2071194398086;3.2305235485155244;02/05/2018
Brugge;Oude Gentweg 75;;;292;1;51.202694227381066;3.22866058829457;02/05/2018
Brugge;Sint-Gilliskerkhof;kerk St-Gillis + Open School + Ministerie van Financi?n Kadaster;;242;1;51.21507357595102;3.2268556834610385;02/05/2018
Sint-Michiels;Spoorwegstraat;Station NMBS;C 14;149;4;51.196562109151984;3.2156404798152844;02/05/2018
Sint-Jozef;Gandhiplein;bejaardenwoningen;n.o.p.;125;1;51.23041358089392;3.2332831838111926;02/05/2018
Sint-Andries;Molensteenstraat 29;;;300;1;51.18810080774349;3.1767632999889175;02/05/2018
Assebroek;Molenstraat 119;;;322;1;51.19203637712551;3.265531107023231;02/05/2018
Brugge;Arsenaalstraat 6-10;SNTL;F 12;20;2;51.200699421293095;3.224957014297879;02/05/2018
Sint-Jozef;Ter Looigemweg thv 11;alg belang;;266;1;51.22551848378645;3.231284997988131;02/05/2018
Zeebrugge;Tijdokstraat kant Vismijnstraat;winkels + horeca;;170;2;51.33215565385703;3.2021293464093445;02/05/2018
Assebroek;Kleine Kerkhofstraat thv ingang kerkhof;algemeen belang;;194;1;51.19324123507323;3.2359997249183166;02/05/2018
Brugge;Stijn Streuvelsstraat (kant pare nrs tegenaan Peperstraat);algemeen belang;I 7;83;1;51.21240991273904;3.2350275651666967;02/05/2018
Brugge;Sint-Salvatorskerkhof;kerk St-Salvators + winkels + horeca;D 1;80;2;51.20551518096345;3.2206565246447947;02/05/2018
Sint-Kruis;Julius Delaplacestraat thv 122;alg. belang;;273;1;51.21601297544628;3.2418929978385775;02/05/2018
Brugge;Kraanplein;;;291;1;51.210473680166864;3.2249988505230283;02/05/2018
Sint-Andries;Gistelse Steenweg t.h.v. nr. 48;algemeen belang;A 11;104;1;51.20373701584075;3.2079834525411255;02/05/2018
Brugge;Westmeers t.h.v. nrs 54-56;bibliotheek Lode Zielens;D 11;89;2;51.203051789585984;3.2199005599662778;02/05/2018
Sint-Kruis;Lopez Gallostraat thv 11;Algemeen belang;;279;1;51.213596397839815;3.272200176574882;02/05/2018
;;;;297;;51.20185550085434;3.2025045948061313;02/05/2018
Brugge;Katelijnevest;algemeen belang;;219;1;51.19908753690548;3.2268975851368356;02/05/2018
Brugge;Komvest Baron Ruzettepark;;;289;2;51.22026938407981;3.222835048378153;02/05/2018
Brugge;Sint-Jorisstraat t.g.o. nr. 27;Orthopedie Van Meurs;D 6;77;2;51.21321832802597;3.2216907935324857;02/05/2018
Sint-Kruis;Smulstraat tegenaan de Moerkerkse Steenweg;algemeen belang;n.o.p.;146;1;51.21402899415208;3.2582698907053063;02/05/2018
Sint-Kruis;Karel Van Manderstraat thv 81;Particulier;;185;1;51.219013280601814;3.2415867970764984;02/05/2018
Brugge;Gapaardstraat t.h.v. nr. 44;algemeen belang;H 10;29;1;51.205593869604186;3.2351802404716694;02/05/2018
Brugge;Nieuwe Gentweg thv 57;algemeen belang;;228;1;51.204125143455386;3.2288695221219066;02/05/2018
Assebroek;Nijverheidsstraat 6;;;308;1;51.202863321704484;3.237109388748856;02/05/2018
Brugge;Tornooistraat tegenaan Keizer Karelstraat;algemeen belang;B 6;84;1;51.21452989637195;3.2137866156389507;02/05/2018
Sint-Kruis;Assebroeklaan 28;;;325;1;51.20933582540701;3.2475353429642944;02/05/2018
Sint-Michiels;Rijselstraat t.h.v. nrs 110-112;School + winkels + kerk;n.o.p.;148;1;51.18757578562088;3.2108569116273444;02/05/2018
Sint-Kruis;Moerkerksesteenweg t.h.v. nr. 128;Ziekenfonds + banken + winkels;J 7;140;1;51.21364555928911;3.247542219998256;02/05/2018
Assebroek;Sint-Katarinastraat (kerkplein);Kerk Sint-Katarina - school + winkels;H 14;16;1;51.19649568240376;3.2359821937648086;02/05/2018
Assebroek;Barthelsstraat thv 7;algemeen belang;;245;1;51.19372739387352;3.23362687242024;02/05/2018
Sint-Kruis;Julius Delaplacestraat thv 122;alg. belang;;267;1;51.216006013384074;3.2418917229054047;02/05/2018
Sint-Michiels;Spoorwegstraat t.h.v. nr. 208;algemeen belang;C 14;150;1;51.1857215702562;3.222775817077973;02/05/2018
Brugge;Coupure 30A;;;316;1;51.20661760318316;3.2346871745205306;02/05/2018
Sint-Andries;Zandstraat 21;;;306;1;51.20295448911104;3.2034883185941085;02/05/2018
Brugge;Eekhoutstraat;alg. belang;;271;1;51.206843780551374;3.227224026418721;02/05/2018
Sint-Andries;Pastoriestraat nr. 249;;;301;1;51.20778533108768;3.1732727752944796;02/05/2018
Assebroek;Dries 6,8 en 10;particulier;;214;4;51.19179280316236;3.24947816977991;02/05/2018
Zeebrugge;Vissersstraat thv 17;alg belang;;218;1;51.332181794141995;3.2053074762335863;02/05/2018
Sint-Kruis;Maalse Steenweg thv 41;soc. woningen/appartementen;;201;4;51.21060991439355;3.244037068922244;02/05/2018
Sint-Andries;Ter Lindehof thv 67;algemeen belang;;230;1;51.20633911052701;3.2024398529031477;02/05/2018
Zeebrugge;Bruselstraat tegenover 52;algemeen belang;;246;1;51.328299210808396;3.178782983476272;02/05/2018
Zwankendamme;Wulfsberge thv 18;Algemeen belang;;282;1;51.308771638607524;3.1941938261940486;02/05/2018
Brugge;Koningin Elisabethlaan thv 67;particulier;;240;1;51.21774955374696;3.2193580345965547;02/05/2018
Brugge;Burg;stads- + provinciediensten;F 9;27;2;51.20923500724112;3.226388994118995;02/05/2018
Brugge;Adriaan Willaertstraat thv 7 en 9;Schouwburg;E 8;19;2;51.21079146930461;3.223647643041168;02/05/2018
Brugge;Verversdijk 17;;;317;1;51.21172927136526;3.2302443033931914;02/05/2018
Sint-Andries;Edgard De Smedtplantsoen (geordende parking aan rechterzijde Magdalenazaal);Cultuurcentrum MaZ;A 12;100;4;51.20151209934967;3.208938471816472;02/05/2018
Sint-Andries;Sint-Jansdreef 9;;;315;1;51.20743561095785;3.209784709560791;02/05/2018
Sint-Andries;Ter Lindehof thv 15;algemeen belang;;229;1;51.205064539441956;3.2025644574078087;02/05/2018
Sint-Andries;Steentje t.h.v. nr. 30;aangepaste sociale woningen;n.o.p.;118;1;51.197135666286385;3.187806665619794;02/05/2018
Assebroek;Van Steenestraat thv 33;alg. belang;;269;1;51.20089977351193;3.2408749761582483;02/05/2018
Assebroek;Camiel Van den Busschestraat thv 78;particulier;n.o.p.;5;1;51.19832905795094;3.2464152280065;02/05/2018
